Group,Filename,Fuelbed_number,Fuelbed_name,Benchmark_ROS,Benchmark_FL,Benchmark_RI,Benchmark_RI_Shrub,Benchmark_RI_Herb,Benchmark_RI_Wood,Benchmark_RI_LLM,Crosswalk13,ROS%13,FL%13,Crosswalk40,ROS%40,FL%40,Custom_ROS,Custom_FL,Custom_RI,Custom_RI_Shrub,Custom_RI_Herb,Custom_RI_Wood,Custom_RI_LLM,Custom_Crosswalk13,Custom_ROS%13,Custom_FL%13,Custom_Crosswalk40,Custom_ROS%40,Custom_FL%40,FCC_Code,Surface_fire_potential,Reaction_potential,Spread_potential,Flamelength_potential,Crown_fire_potential,Crown_initiation_potential,Crown-crown_trans_potential,Crownfire_spread_potential,Available_fuel_potential,Flame_available_potential,Smolder_available_potential,Residual_smolder_potential,Depth_shrub,Depth_herb,Depth_woody,Depth_LLM,Depth_surface_fuels,PercentCover_shrub,PercentCover_herb,PercentCover_woody,PercentCover_LLM,Tree_over_crown_load,Tree_mid_crown_load,Tree_under_crown_load,Tree_aboveground_load,Snag_class1_foliage_load,Snag_class1_wood_load,Snag_class1_other_load,Snag_class2_load,Snag_class3_load,Ladderfuels_load,Shrub_primary_load,Shrub_primary_crown_load,Shrub_secondary_load,Shrub_secondary_crown_load,Shrub_needleDrape_load,Herb_primary_load,Herb_secondary_load,Woody_sound_1hr_load,Woody_sound_10hr_load,Woody_sound_100hr_load,Woody_sound_1000hr_load,Woody_sound_10khr_load,Woody_sound_GT10k_load,Woody_rotten_1000hr_load,Woody_rotten_10k_load,Woody_rotten_GT10k_load,Woody_pile_load,Woody_stumps_sound_load,Woody_stumps_rotten_load,Woody_stumps_lightered_load,LLM_litter_load,LLM_lichen_load,LLM_moss_load,Ground_upperduff_load,Ground_lowerduff_load,Ground_basalaccum_load,Ground_squirrelmid_load,Total_aboveground_biomass,Total_carbon_load,Version
1.1,fuelbed_57900.xml,57900,Rangeland,13.8908,3.4352,2439.6858,8.2715,2358.0781,0,73.3362,6,49.5215,63.6145,142,603.9464,180.799,13.8908,3.4352,2439.6858,8.2715,2358.0781,0,73.3362,6,49.5215,63.6145,142,603.9464,180.799,700,7.4541,3.9515,7.4541,3.7068,0,0,0,0,0.0676,0.0676,0,0,3,0.5,0,0.0083,0.2481,2,50,0,50,,,,,,,,,,,0.01,0.005,,,0,0.5,,0,0,0,0,0,0,0,0,0,,,,,0.17,,,,,,,0.68,0.3375,3.0.257
1.1,fuelbed_41116.xml,41116,"Xeric upland >100 yr old longleaf pine forest, 1-3 yr mFRI",6.1706,2.1477,1355.6208,110.2373,120.545,72.0243,1052.8142,9,90.4776,85.9087,183,474.6597,238.6352,6.1706,2.1477,1355.6208,110.2373,120.545,72.0243,1052.8142,9,90.4776,85.9087,183,474.6597,238.6352,521,4.9681,2.9455,4.9681,2.931,2.4682,1.9203,4.7451,2.2568,0.8953,0.6924,0.03,0.1729,2,0.9,0.0667,0.075,0.0928,5,60,10,85,2.4257,,0.3072,43.5812,,,,,,,0.5,0.2312,,,0,0.03,,0.05,0.4,0.2,0.75,0.75,0.75,0,0,0,,,,,0.65,,,,,,,47.6612,22.2462,3.0.257
1.1,fuelbed_41115.xml,41115,"Xeric upland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",6.8707,2.2402,1392.4387,104.9674,185.3683,49.2888,1052.8142,11,127.4716,72.2644,185,202.0799,117.9051,6.8707,2.2402,1392.4387,104.9674,185.3683,49.2888,1052.8142,11,127.4716,72.2644,185,202.0799,117.9051,531,5.2424,2.9852,5.2424,2.9935,2.5669,2.0546,4.7451,2.3526,0.7643,0.5734,0.0271,0.1639,2,0.9,0.0667,0.0667,0.1148,5,60,10,85,1.9406,,0.3072,39.613,,,,,,,0.5,0.2312,,,0,0.05,,0.04,0.4,0.2,0.6,0.75,0.75,0,0,0,,,,,0.45,,,,,,,43.353,20.1721,3.0.257
1.1,fuelbed_31116.xml,31116,"Mesic upland >100 yr old longleaf pine forest, 1-3 yr mFRI",6.6816,3.2946,3351.4087,874.1821,1307.2917,117.1206,1052.8142,9,97.9714,131.7833,189,96.8355,76.6182,6.6816,3.2946,3351.4087,874.1821,1307.2917,117.1206,1052.8142,9,97.9714,131.7833,189,96.8355,76.6182,521,5.1698,4.6313,5.1698,3.6302,1.799,2.0868,0,2.1107,0.8535,0.6749,0.0349,0.1437,3.5,1,0.1917,0.0833,0.41,15,25,5,90,1.5708,,,28.6828,,,,,,,2.5,1.175,,,0,0.3,,0.1,0.3,0.34,1,0.5,0.5,0,0,0,,,,,0.65,,,,,,,34.8728,15.4039,3.0.257
1.1,fuelbed_41416.xml,41416,"Xeric upland > 100 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,632,6.0204,9,6.0204,5.6701,3.0207,4.7391,0,2.3086,2.3665,1.6404,0.2169,0.5091,2,2,0.1833,0.125,0.5999,5,80,65,65,1.1024,,,14.2716,,,,,,,0.5,0.2312,,,0,2,,2.97,1.4,4.8,3.75,1.88,1.88,,,,,,,,3,,,,,,,36.4516,9.7514,3.0.257
1.1,fuelbed_41415.xml,41415,"Xeric upland 61-100 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,632,6.0204,9,6.0204,5.6701,2.9421,4.7391,0,2.1253,2.3335,1.6074,0.2169,0.5091,2,2,0.1833,0.125,0.5999,5,80,65,65,0.882,,,12.8445,,,,,,,0.5,0.2312,,,0,2,,2.97,1.4,4.8,3.75,1.88,1.88,,,,,,,,3,,,,,,,35.0245,9.0379,3.0.257
1.1,fuelbed_31115.xml,31115,"Mesic upland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",7.1304,3.3799,3331.7622,871.3074,1298.8789,108.7616,1052.8142,9,104.5519,135.1966,189,103.3397,78.6027,7.1304,3.3799,3331.7622,871.3074,1298.8789,108.7616,1052.8142,9,104.5519,135.1966,189,103.3397,78.6027,521,5.3406,4.6177,5.3406,3.6769,1.8236,2.1101,0,2.1448,0.8075,0.6488,0.0298,0.129,3.5,1,0.1917,0.0667,0.4124,15,25,5,90,1.5708,,,28.6828,,,,,,,2.5,1.175,,,0,0.3,,0.09,0.3,0.34,0.75,0.5,0.5,0,0,0,,,,,0.45,,,,,,,34.4128,15.3039,3.0.257
1.1,fuelbed_31416.xml,31416,"Mesic upland > 100 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,632,6.0204,9,6.0204,5.6701,3.0207,4.7391,0,2.3086,2.3665,1.6404,0.2169,0.5091,2,2,0.1833,0.125,0.5999,5,80,65,65,1.1024,,,14.2716,,,,,,,0.5,0.2312,,,0,2,,2.97,1.4,4.8,3.75,1.88,1.88,,,,,,,,3,,,,,,,36.4516,9.7514,3.0.257
1.1,fuelbed_31415.xml,31415,"Mesic upland 61-100 yr old long-needle pine late-stage herbicide application, 1-3 yr mFRI",9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,9.0612,8.0376,13582.5938,254.4063,9129.5146,3496.0332,702.6401,13,63.8564,84.6065,202,79.4845,151.6531,632,6.0204,9,6.0204,5.6701,2.9421,4.7391,0,2.1253,2.3335,1.6074,0.2169,0.5091,2,2,0.1833,0.125,0.5999,5,80,65,65,0.882,,,12.8445,,,,,,,0.5,0.2312,,,0,2,,2.97,1.4,4.8,3.75,1.88,1.88,,,,,,,,3,,,,,,,35.0245,9.0379,3.0.257
1.2,fuelbed_41114.xml,41114,"Xeric upland 41-60 yr old longleaf pine forest, 1-3 yr mFRI",7.171,2.1236,1262.6742,95.8322,335.0906,27.9656,803.7858,11,133.0431,68.5041,185,210.9124,111.7698,7.171,1.9838,1034.038,79.4584,122.8281,27.9656,803.7858,8,434.6074,198.38,186,162.9778,86.2522,531,5.3558,2.8427,5.3558,2.9145,2.7104,2.2207,4.7451,2.5215,0.6185,0.4987,0.0166,0.1032,2,0.9,0.0667,0.0667,0.1656,5,60,10,85,1.7465,,0.3072,35.8661,,,,,,,0.5,0.2312,,,0,0.1,,0.04,0.32,0.16,0.3,0.5,0.5,0,0,0,,,,,0.25,,,,,,,38.5361,18.2237,3.0.257
