fuelbed,andreu_fuelbed_no,topo,cover,treatment,mfri,age,expected_pig,benchmark_ros,benchmark_pig,benchmark_dif,ms1_ros,ms1_pig,ms1_dif,ms2_ros,ms2_pig,ms2_dif,ms3_ros,ms3_pig,ms3_dif,ms4_ros,ms4_pig,ms4_dif,ms5_ros,ms5_pig,ms5_dif,ms6_ros,ms6_pig,ms6_dif,ms7_ros,ms7_pig,ms7_dif,ms8_ros,ms8_pig,ms8_dif
1011101,1011101,1,1,1,1,1,0.0076,2.8705,0.0342,0.0266,2.8705,0.1588,0.1512,2.141,0.1459,0.1383,0.2028,0.0177,0.0101,0.2411,0.0174,0.0098,0.2411,0,-0.0076,0.2411,0,-0.0076,0.2411,0,-0.0076,0.2411,0.034,0.0264
1011102,1011102,1,1,1,1,2,0.038,2.8318,0.0336,-0.0044,2.8318,0.1566,0.1186,2.1472,0.1464,0.1084,0.4948,0.0433,0.0053,0.5883,0.0424,0.0044,0.5883,0,-0.038,0.5883,0,-0.038,0.5883,0,-0.038,0.5883,0.083,0.045
1011103,1011103,1,1,1,1,3,0.266,3.1766,0.0384,-0.2276,3.1766,0.1757,-0.0903,2.3601,0.1609,-0.1051,1.4496,0.1268,-0.1392,1.7235,0.1241,-0.1419,1.7235,0,-0.266,1.7235,0,-0.266,1.7235,0,-0.266,1.7235,0.243,-0.023
1011104,1011104,1,1,1,1,4,0.494,6.9502,0.091,-0.403,6.9502,0.3844,-0.1096,4.2369,0.2888,-0.2052,4.2369,0.3707,-0.1233,5.0377,0.3627,-0.1313,5.0377,0,-0.494,5.0377,0,-0.494,5.0377,0,-0.494,5.0377,0.7103,0.2163
1011105,1011105,1,1,1,1,5,0.722,7.0034,0.0918,-0.6302,7.0034,0.3874,-0.3346,4.2694,0.291,-0.431,4.2694,0.3735,-0.3485,5.0763,0.3654,-0.3566,5.0763,0,-0.722,5.0763,0,-0.722,5.0763,0,-0.722,5.0763,0.7158,-0.0062
1011106,1011106,1,1,1,1,6,0.76,7.3522,0.0966,-0.6634,7.3522,0.4067,-0.3533,4.482,0.3055,-0.4545,4.482,0.3921,-0.3679,5.3291,0.3836,-0.3764,5.3291,0,-0.76,5.3291,0,-0.76,5.3291,0,-0.76,5.3291,0.7514,-0.0086
1011201,1011201,1,1,1,2,1,0.00646,4.1981,0.0527,0.04624,4.1981,0.2322,0.22574,2.2279,0.1519,0.14544,0.2,0.0175,0.01104,0.2346,0.0169,0.01044,0.2346,0,-0.00646,0.2346,0,-0.00646,0.2346,0,-0.00646,0.2346,0.0331,0.02664
1011202,1011202,1,1,1,2,2,0.0323,6.0291,0.0782,0.0459,6.0291,0.3335,0.3012,3.258,0.2221,0.1898,0.2778,0.0243,-0.008,0.3288,0.0237,-0.0086,0.3288,0,-0.0323,0.3288,0,-0.0323,0.3288,0,-0.0323,0.3288,0.0464,0.0141
1011203,1011203,1,1,1,2,3,0.2261,5.0467,0.0645,-0.1616,5.0467,0.2792,0.0531,2.5826,0.176,-0.0501,0.9941,0.087,-0.1391,1.1287,0.0813,-0.1448,0.9112,0,-0.2261,1.0297,0,-0.2261,0.9664,0,-0.2261,0.9664,0.1363,-0.0898
1011204,1011204,1,1,1,2,4,0.4199,4.7516,0.0604,-0.3595,4.7516,0.2628,-0.1571,2.5334,0.1727,-0.2472,0.8979,0.0786,-0.3413,1.0201,0.0734,-0.3465,0.8096,0,-0.4199,0.9219,0,-0.4199,0.8614,0,-0.4199,0.8614,0.1215,-0.2984
1011205,1011205,1,1,1,2,5,0.6137,6.0138,0.078,-0.5357,6.0138,0.3326,-0.2811,3.0205,0.2059,-0.4078,3.2414,0.2836,-0.3301,3.6164,0.2603,-0.3534,3.2508,0,-0.6137,3.451,0,-0.6137,3.346,0,-0.6137,3.346,0.4718,-0.1419
